DRUGID,SMILES
CNSA17,C1CN(CC2=C1NC(=O)N3C2=NC(=C3)C4=CC=C(C=C4)F)CC5=CC=CC=C5
CX7G9K,C=CCN1CCC2=C(C1)C3=NC(=CN3C(=O)N2)C4=CC=CC=C4F
CL4XD0,C1CN(CC2=C1NC(=O)N3C2=NC(=C3)C4=CC=CC=C4F)CC5=CC=CC=C5
CB9U0F,COC1=CC=C(C=C1)C2=CN3C(=N2)C4=C(CCN(C4)CC5=CC=CC=C5)NC3=O
CTI32Y,C1CN(CC2=C1NC(=O)N3C2=NC(=C3)C4=CC=CC=C4F)C(=O)OCC5=CC=CC=C5
C5KV7A,C1CN(CC2=C1NC(=O)N3C2=NC(=C3)C4=CC=CC=C4C5=CC=CS5)CC6=CC=CC=C6
CZK75V,C1CN(CC2=C1NC(=O)N3C2=NC(=C3)C4=CC=CC=C4F)CC5=CN=CN5
C0FN6W,COC1=CC=C(C=C1)C(=O)N2CCC3=C(C2)C4=NC(=CN4C(=O)N3)C5=CC=CC=C5F
CYE1R8,C1CN(CC2=C1NC(=O)N3C2=NC(=C3)C4=CC=CC=C4F)C(=O)C5=CC=C(C=C5)F
CE8F3Y,CC1=CC=C(C=C1)C(=O)N2CCC3=C(C2)C4=NC(=CN4C(=O)N3)C5=CC=CC=C5F
COH5G6,CC1=CC=CC=C1C(=O)N2CCC3=C(C2)C4=NC(=CN4C(=O)N3)C5=CC=CC=C5F
C2VHW7,C1CN(CC2=C1NC(=O)N3C2=NC(=C3)C4=CC=CC=C4F)C(=O)C5=CC(=C(C=C5)F)F
CZL2P0,C1CN(CC2=C1NC(=O)N3C2=NC(=C3)C4=CC=CC=C4F)C(=O)C5=CC(=CC=C5)F
CCX08E,C1CN(CC2=C1NC(=O)N3C2=NC(=C3)C4=CC=CC=C4F)C(=O)C5=CC=CC=C5F
C6D3BI,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)N=C=S)C
C3GZU0,C[C@H](C1=CC=CC=C1)N2C=NC=C2C(=O)N=[N+]=[N-]
D0M4CP,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)N=[N+]=[N-])C
CQ6MW0,C1CN(CCC1N2C(=O)CC3=CC=CC=C32)CC4=CC=CC=C4
CH54KF,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)F)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=CC=C2)N)O
CZP0C7,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)C#N)NC(=O)CNC(=O)CNC(=O)[C@H](CC2=CC=CC=C2)N)O
